title,text,resume,authors,date,keywords,source
Alexei Navalny's funeral to be held on Friday in Moscow,"On Tuesday, Navalny's spokeswoman Kira Yarmysh said his team were struggling to find somewhere to hold the ceremony - some funeral homes had claimed they were fully booked, she said, while others had refused when they found out who the event was for.",Resume0,[],,"['spokeswoman', 'homes', 'funeral', 'moscow', 'held', 'yarmysh', 'navalnys', 'struggling', 'refused', 'alexei', 'team', 'kira', 'hold']",bbc_articles
"To defeat Putin, stop being boring, says Navalny's widow Yulia Navalnaya","Addressing the European Parliament, Yulia Navalnaya has said her late husband Alexei Navalny - Russia's most prominent opposition figure - will ""never see what the beautiful Russia of the future will look like, but we must see it"".

Ms Navalnaya said the ""murder"" of her husband - who died in an Arctic penal colony on 16 February - showed that Putin was ""capable of anything"" and could not be negotiated with.

Few official details have been released on the cause of Navalny's death. His funeral on Friday is likely to have a heavy police presence.

Read more: Navalny to be buried on Friday in Moscow",Resume1,[],,"['navalny', 'withfew', 'russias', 'showed', 'widow', 'released', 'stop', 'navalnaya', 'boring', 'russia', 'navalnys', 'yulia', 'husband', 'putin', 'defeat']",bbc_articles
Joe Biden wins Michigan primary despite sizeable Gaza protest vote,"Hala - who declined to share her last name - said she voted for Mr Biden last time, but was not sure she would do so again when the presidential election comes round. ""Maybe, if he calls for an immediate ceasefire, but he's not going to do that,"" she said.",Resume2,[],,"['protest', 'mr', 'joe', 'michigan', 'despite', 'immediate', 'maybe', 'wins', 'biden', 'sure', 'hes', 'gaza', 'sizeable', 'round', 'presidential', 'voted', 'share', 'primary', 'vote', 'hala']",bbc_articles
Texas wildfire: Fire truck drives through inferno,"Video filmed from inside a fire truck shows flames towering above the road as thick smoke obscures the view.

Out-of-control fires across the Texas Panhandle - the northern-most region of the US state - have affected more than 250,000 acres (1,000 sq km) of land, triggering evacuations, road closures and power cuts.

Pantex, a key nuclear weapons plant, was forced to suspend operations until further notice.",Resume3,[],,"['drives', 'road', 'inferno', 'texas', 'weapons', 'wildfire', 'video', 'towering', 'triggering', 'suspend', 'truck', 'thick', 'viewoutofcontrol']",bbc_articles
Ukraine war: Ukraine reports jump in number of downed Russian planes,"The higher number of Russian planes claimed to have been shot down recently suggests that ""Ukraine is being more aggressive with risking Patriot launchers close to the frontlines in order to engage Russian jets,"" Justin Bronk, a senior research fellow at the London-based think-tank Rusi, told the BBC.",Resume4,[],,"['russian', 'shot', 'number', 'rusi', 'suggests', 'ukraine', 'war', 'downed', 'jump', 'told', 'thinktank', 'planes', 'reports', 'risking', 'research', 'senior']",bbc_articles
Ghana passes bill making identifying as LGBTQ+ illegal,"At the time, the Christian Council of Ghana and the Ghana Pentecostal and Charismatic Council said in a joint statement that being LGBTQ+ was ""alien to the Ghanaian culture and family value system and, as such, the citizens of this nation cannot accept it"".",Resume5,[],,"['joint', 'identifying', 'pentecostal', 'value', 'bill', 'statement', 'illegal', 'ghana', 'nation', 'ghanaian', 'passes', 'making', 'system', 'council', 'lgbtq']",bbc_articles
Monica Lewinsky signed as face of Reformation's vote campaign,"""We all have to be reminding each other that we can't let that get in the way of needing to vote, that that's how we use our voice. That's where our power is,"" she told the magazine.",Resume6,[],,"['monica', 'reformations', 'campaign', 'way', 'power', 'let', 'reminding', 'face', 'vote', 'signed', 'lewinsky', 'told', 'needing', 'voice', 'thats', 'magazine']",bbc_articles
"Phosgene was detected at Sweden security service HQ, report suggests","Sapo insists that what it said on Friday still holds - that no gas was detected. Speaking to TT news agency, a spokesperson was unable to explain why this appeared to conflict with the county's report.",Resume7,[],,"['report', 'hq', 'holds', 'unable', 'sweden', 'explain', 'phosgene', 'spokesperson', 'gas', 'suggests', 'tt', 'sapo', 'detected', 'insists', 'service', 'security', 'speaking']",bbc_articles
Iwájú: Nigerian Disney show flawed but delightful - critics,"After initially announcing that Iwájú would stream exclusively on Disney+, the company said Nigerians who subscribe to DSTV would be able to watch the show on the Disney Channel, where it will air in late April and early May, Nigerian media reports say.",Resume8,[],,"['flawed', 'iwájú', 'say', 'nigerians', 'nigerian', 'subscribe', 'delightful', 'reports', 'watch', 'disney', 'late', 'critics', 'media', 'stream']",bbc_articles
Sydney murder case: Tributes flood in for Jesse Baird and Luke Davies,"Mr Baird's peers at Network 10 have said he was more friend than colleague. ""[He was] like a little brother. He had this big, beautiful smile [and] at 26 he was an absolute star,"" said Sarah Harris - the host of current affairs show the Project - in a teary on-air tribute on Sunday.",Resume9,[],,"['tribute', 'jesse', 'network', 'sarah', 'mr', 'case', 'tributes', 'luke', 'baird', 'teary', 'peers', 'project', 'flood', 'sydney', 'onair', 'star', 'murder', 'davies', 'smile']",bbc_articles
Why South Korean women aren't having babies,"More than half the population live in or around the capital Seoul, which is where the vast majority of opportunities are, creating huge pressure on apartments and resources. Stella and her husband have been gradually pushed further and further away from the capital, into neighbouring provinces, and are still unable to buy their own place.",Resume10,[],,"['provinces', 'vast', 'pressure', 'south', 'having', 'unable', 'seoul', 'pushed', 'korean', 'capital', 'resources', 'arent', 'stella', 'population', 'babies', 'women']",bbc_articles
Organiser of 'white party' in Sri Lanka apologises after backlash,"""We wanted to meet expats who have been living here for a long time and love Sri Lanka. The team... supported me and a joint decision was made to quickly organise a party,"" he said, adding that he has since had to leave the country after receiving a barrage of abuse and threats.",Resume11,[],,"['quickly', 'threats', 'sri', 'receiving', 'lanka', 'apologises', 'wanted', 'meet', 'supported', 'white', 'organise', 'backlash', 'team', 'organiser', 'party']",bbc_articles
UN's top court hears key case on Israeli occupation of the Palestinian Territories,"A number of countries referred to the Hamas attacks in which about 1,200 people were killed and more than 250 taken to Gaza as hostages as evidence of Israel's need for security. By extension they argued that any withdrawal of Israeli forces must be accompanied by security assurances.",Resume12,[],,"['hears', 'key', 'withdrawal', 'number', 'court', 'need', 'israels', 'occupation', 'palestinian', 'referred', 'hostages', 'taken', 'israeli', 'territories', 'security', 'uns', 'killed', 'case']",bbc_articles
Gaza desperately needs more aid but agencies can’t cope,"With just a few roads available for aid deliveries, and most convoys travelling in the early hours of the day, the UN says people are using social media to alert each other to the movement of convoys, allowing roadblocks and ambushes to be set up in advance.",Resume13,[],,"['set', 'using', 'cope', 'movement', 'aid', 'cant', 'travelling', 'roads', 'hours', 'agencies', 'desperately', 'needs', 'roadblocks', 'gaza', 'social', 'convoys', 'media']",bbc_articles
Walled site grows at Egypt border near Gaza,"""The capacity for warehousing in Egypt is something that is discussed at almost every meeting. Given that this hasn't been shared, my assumption is that this is not what the plan is,"" she added.",Resume14,[],,"['discussed', 'given', 'site', 'added', 'walled', 'shared', 'border', 'near', 'assumption', 'grows', 'plan', 'gaza', 'warehousing', 'meeting', 'egypt', 'capacity']",bbc_articles
"To defeat Putin, stop being boring, says Navalny's widow Yulia Navalnaya","Addressing the European Parliament, Yulia Navalnaya has said her late husband Alexei Navalny - Russia's most prominent opposition figure - will ""never see what the beautiful Russia of the future will look like, but we must see it"".

Ms Navalnaya said the ""murder"" of her husband - who died in an Arctic penal colony on 16 February - showed that Putin was ""capable of anything"" and could not be negotiated with.

Few official details have been released on the cause of Navalny's death. His funeral on Friday is likely to have a heavy police presence.

Read more: Navalny to be buried on Friday in Moscow",Resume15,[],,"['navalny', 'withfew', 'russias', 'showed', 'widow', 'released', 'stop', 'navalnaya', 'boring', 'russia', 'navalnys', 'yulia', 'husband', 'putin', 'defeat']",bbc_articles
Sistine Chapel: Cleaning the frescos after closing time,"More than six million people visit the Sistine Chapel each year - making it the third most-visited museum in the world.

This puts a strain on the health of the famous frescos.

So the Vatican Museums rely on modern technology and a small team of experts to monitor the world-renowned frescos.

The BBC's Sara Monetta got exclusive access to witness how Michelangelo’s work is being looked after.

Filmed by Francesco Tosto, produced by Stefano Fasano",Resume16,[],,"['witness', 'technology', 'cleaning', 'chapel', 'vatican', 'worldrenowned', 'visit', 'sistine', 'strain', 'closing', 'tosto', 'frescos', 'work', 'team', 'worldthis']",bbc_articles
Moment medical students find out school will be tuition-free,"Students at the Albert Einstein College of Medicine erupted in cheers and tears on Monday as Dr Ruth Gottesman, a former professor, announced the school would be tuition-free because of her $1bn donation.

The college is in the Bronx, New York City's poorest borough. Tuition at the school is nearly $59,000 (£46,500) each year and Dr Gottesman's gift is the largest donation ever given to a medicine school in the US.

Read more: College to offer free medical degrees after $1bn gift",Resume17,[],,"['1bn', 'dr', 'medical', 'usread', 'college', 'medicine', 'gift', 'students', 'school', 'moment', 'york', 'tuition', 'tuitionfree']",bbc_articles
Joe Biden says he hopes for Israel-Gaza ceasefire by Monday,"US President Joe Biden has said he hopes to have a ceasefire ""by next Monday"", after reports of progress in negotiations between Israel and Hamas representatives.

""We're close,"" he said on Monday, speaking in an ice cream shop. ""We're not done yet. My hope is by next Monday we'll have a ceasefire.""

Last week, the US was widely criticised for vetoing a UN Security Council resolution demanding an immediate ceasefire in Gaza.

Instead, it proposed its own temporary ceasefire resolution, which also warned Israel not to invade the southern Gazan city of Rafah.

Read more here: Hope for Gaza ceasefire by next week, says Biden",Resume18,[],,"['hope', 'vetoing', 'israel', 'warned', 'biden', 'resolution', 'week', 'widely', 'ceasefire', 'hopes', 'temporary', 'israelgaza', 'joe']",bbc_articles
Runaway Indian train speeds past station without driver,"Footage shows a freight train without a driver on board speeding through a station in northern India.

Indian Railways has ordered an investigation after the unmanned train, which was on its way to Punjab from Jammu, travelled more than 70km (43.4 miles).

Officials say it began moving down a sloping track after the driver and his assistant got off for a crew change.

The 53-wagon train, carrying stone chips, moved at a speed of nearly 100km/h (around 62mph) and managed to cross about five stations before it was brought to a halt.

""The train was stopped after a railway official placed wood blocks on the tracks to stop the train,"" officials told the Press Trust of India (PTI) news agency.

Authorities closed off railway crossings along its path, and no-one was hurt.

Read more here: Runaway Indian train travels 70km without driver",Resume19,[],,"['indian', 'way', 'station', 'past', 'railway', 'wood', 'unmanned', 'driver', 'trust', 'travelled', 'runaway', 'travels', 'speeds', 'train', '70km']",bbc_articles
Valencia fire: Grenfell-style cladding fear after blaze,"Alucoil has produced three types of cladding panel and the BBC has not been able to verify which ones have been used in the building. However, one of the cladding panels it produces, Larson PE, is known to be highly combustible.",Resume20,[],,"['used', 'fear', 'cladding', 'types', 'produces', 'pe', 'ones', 'panels', 'blaze', 'panel', 'grenfellstyle', 'verify', 'produced', 'valencia']",bbc_articles
Escaping Sudan: 'My mother’s body was left by smugglers in the desert',"Before she had set off with her mother, she had already organised for her children to escape across the border with other relatives using the desert-smuggling route as it had become ""impossible"" to get a visa to travel legally to Egypt.",Resume21,[],,"['set', 'using', 'mothers', 'travel', 'route', 'relatives', 'smugglers', 'organised', 'visa', 'left', 'impossible', 'legally', 'desert', 'body', 'mother', 'escaping', 'sudan']",bbc_articles
Catalonia's farmers demand more help over drought,"A number of restrictions have already been in place over the last year or so, with decorative fountains switched off, and tight controls on the watering of gardens and parks and the use of water for cleaning streets. However, the new measures, which will include the arrival of boatloads of water from other Spanish regions if the drought continues, are much more drastic.",Resume22,[],,"['watering', 'regions', 'switched', 'place', 'water', 'restrictions', 'drought', 'spanish', 'streets', 'help', 'tight', 'catalonias', 'farmers', 'demand', 'parks']",bbc_articles
